,class_1,a1_1,a2_1,a3_1,a4_1,a5_1,a6_1,a6_2,a5_2,a5_3,a5_4,a4_2,a4_3,a3_2,a2_2,class_0,a2_3,a1_2,a1_3
data_47,1,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0
data_48,1,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0
data_49,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
data_50,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
data_51,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0
data_52,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0
data_53,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0
data_54,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0
data_55,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0
data_56,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0
data_57,1,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
data_58,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
data_59,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0
data_60,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0
data_61,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0
data_62,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0
data_63,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0
data_64,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0
data_65,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0
data_66,1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0
data_67,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0
data_68,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0
data_69,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0
data_70,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0
data_71,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0
data_72,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0
data_73,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0
data_74,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0
data_75,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0
data_76,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0
data_77,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0
data_78,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0
data_79,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0
data_80,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0
data_81,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0
data_82,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0
data_83,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0
data_84,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0
data_85,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0
data_86,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0
data_87,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0
data_88,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0
data_89,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0
data_90,1,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0
data_91,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0
data_92,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
data_93,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0
data_94,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0
data_95,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0
data_96,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0
data_97,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
data_98,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
data_99,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0
data_100,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
data_101,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0
data_102,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0
data_103,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0
data_104,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0
data_105,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
data_106,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
data_107,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0
data_108,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0
data_109,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0
data_110,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0
data_111,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0
data_112,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0
data_113,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
data_114,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0
data_115,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0
data_116,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0
data_117,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0
data_118,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0
data_119,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0
data_120,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0
data_121,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0
data_122,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0
data_123,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0
data_124,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0
data_125,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0
data_126,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0
data_127,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0
data_128,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0
data_129,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0
data_130,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
data_131,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0
data_132,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0
data_133,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0
data_134,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0
data_135,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0
data_136,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0
data_137,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0
data_138,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0
data_139,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0
data_140,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0
data_141,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0
data_142,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0
data_143,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0
data_144,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0
data_145,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
data_146,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
data_147,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0
data_148,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0
data_149,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0
data_150,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0
data_151,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0
data_152,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0
data_153,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
data_154,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
data_155,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0
data_156,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0
data_157,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
data_158,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0
data_159,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0
data_160,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0
data_161,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
data_162,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
data_163,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0
data_164,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0
data_165,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
data_166,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0
data_167,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0
data_168,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0
data_169,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0
data_170,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0
data_171,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0
data_172,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0
data_173,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0
data_174,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0
data_175,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0
data_176,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0
data_177,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
data_178,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
data_179,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0
data_180,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0
data_181,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0
data_182,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
data_183,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0
data_184,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0
data_185,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0
data_186,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0
data_187,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0
data_188,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0
data_189,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0
data_190,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0
data_191,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0
data_192,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0
data_193,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0
data_194,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0
data_195,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0
data_196,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0
data_197,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0
data_198,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0
data_199,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0
data_200,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
data_201,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0
data_202,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
data_203,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
data_204,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0
data_205,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
data_206,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0
data_207,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0
data_208,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0
data_209,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0
data_210,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0
data_211,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
data_212,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0
data_213,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0
data_214,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0
data_215,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0
data_216,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0
data_217,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0
data_218,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0
data_219,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0
data_220,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0
data_221,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0
data_222,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0
data_223,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0
data_224,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0
data_225,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0
data_226,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0
data_227,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0
data_228,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0
data_229,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0
data_230,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0
data_231,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0
data_232,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0
data_233,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0
data_234,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0
data_235,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0
data_236,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0
data_237,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0
data_238,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,1,0
data_239,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0
data_240,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0
data_241,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0
data_242,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0
data_243,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0
data_244,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0
data_245,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0
data_246,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0
data_247,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0
data_248,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0
data_249,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0
data_250,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0
data_251,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0
data_252,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0
data_253,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0
data_254,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0
data_255,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0
data_256,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0
data_257,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0
data_258,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0
data_259,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0
data_260,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0
data_261,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0
data_262,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0
data_263,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0
data_264,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0
data_265,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0
data_266,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0
data_267,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,1,0
data_268,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0
data_269,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0
data_270,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0
data_271,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0
data_272,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0
data_273,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0
data_274,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0
data_275,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,1,0
data_276,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,1,0
data_277,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,1,0
data_278,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0
data_279,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0
data_280,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0
data_281,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0
data_282,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0
data_283,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,0
data_284,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0
data_285,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0
data_286,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0
data_287,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,0
data_288,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,1,0
data_289,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
data_290,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
data_291,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1
data_292,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1
data_293,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1
data_294,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1
data_295,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1
data_296,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1
data_297,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1
data_298,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
data_299,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
data_300,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1
data_301,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1
data_302,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1
data_303,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1
data_304,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1
data_305,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
data_306,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
data_307,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1
data_308,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1
data_309,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
data_310,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1
data_311,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1
data_312,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1
data_313,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1
data_314,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1
data_315,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1
data_316,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1
data_317,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1
data_318,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1
data_319,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1
data_320,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1
data_321,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1
data_322,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1
data_323,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1
data_324,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1
data_325,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1
data_326,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1
data_327,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1
data_328,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1
